dataset,dataset_key,id,feature_id,annotator2_value
SMS Spam,sms_spam,sms_spam_00309,mentions_prize_reward_gift,1
SMS Spam,sms_spam,sms_spam_00309,claims_winner_or_selected,1
SMS Spam,sms_spam,sms_spam_00309,impersonates_official_entity,0
SMS Spam,sms_spam,sms_spam_00309,uses_promotional_or_marketing_claim,1
SMS Spam,sms_spam,sms_spam_00309,mentions_money_payment,1
SMS Spam,sms_spam,sms_spam_00309,mentions_free_offer,0
SMS Spam,sms_spam,sms_spam_00309,mentions_discount_or_rate,0
SMS Spam,sms_spam,sms_spam_00309,mentions_financial_gain_or_cost,1
SMS Spam,sms_spam,sms_spam_00309,creates_urgency,1
SMS Spam,sms_spam,sms_spam_00309,uses_deadline_or_expiry,0
SMS Spam,sms_spam,sms_spam_00309,threatens_loss_or_penalty,0
SMS Spam,sms_spam,sms_spam_00309,contains_all_caps_or_exclamation_emphasis,1
SMS Spam,sms_spam,sms_spam_00309,asks_click_link,0
SMS Spam,sms_spam,sms_spam_00309,asks_user_reply_or_call,1
SMS Spam,sms_spam,sms_spam_00309,requests_personal_information,0
SMS Spam,sms_spam,sms_spam_00309,requests_immediate_action,1
SMS Spam,sms_spam,sms_spam_00309,normal_personal_conversation,0
SMS Spam,sms_spam,sms_spam_00309,mentions_meeting_family_friends,0
SMS Spam,sms_spam,sms_spam_00309,uses_casual_emotional_language,0
SMS Spam,sms_spam,sms_spam_00309,refers_previous_conversation,0
SMS Spam,sms_spam,sms_spam_03121,mentions_prize_reward_gift,0
SMS Spam,sms_spam,sms_spam_03121,claims_winner_or_selected,0
SMS Spam,sms_spam,sms_spam_03121,impersonates_official_entity,0
SMS Spam,sms_spam,sms_spam_03121,uses_promotional_or_marketing_claim,1
SMS Spam,sms_spam,sms_spam_03121,mentions_money_payment,1
SMS Spam,sms_spam,sms_spam_03121,mentions_free_offer,0
SMS Spam,sms_spam,sms_spam_03121,mentions_discount_or_rate,1
SMS Spam,sms_spam,sms_spam_03121,mentions_financial_gain_or_cost,1
SMS Spam,sms_spam,sms_spam_03121,creates_urgency,1
SMS Spam,sms_spam,sms_spam_03121,uses_deadline_or_expiry,0
SMS Spam,sms_spam,sms_spam_03121,threatens_loss_or_penalty,0
SMS Spam,sms_spam,sms_spam_03121,contains_all_caps_or_exclamation_emphasis,0
SMS Spam,sms_spam,sms_spam_03121,asks_click_link,0
SMS Spam,sms_spam,sms_spam_03121,asks_user_reply_or_call,1
SMS Spam,sms_spam,sms_spam_03121,requests_personal_information,0
SMS Spam,sms_spam,sms_spam_03121,requests_immediate_action,1
SMS Spam,sms_spam,sms_spam_03121,normal_personal_conversation,0
SMS Spam,sms_spam,sms_spam_03121,mentions_meeting_family_friends,0
SMS Spam,sms_spam,sms_spam_03121,uses_casual_emotional_language,0
SMS Spam,sms_spam,sms_spam_03121,refers_previous_conversation,0
SMS Spam,sms_spam,sms_spam_02836,mentions_prize_reward_gift,1
SMS Spam,sms_spam,sms_spam_02836,claims_winner_or_selected,0
SMS Spam,sms_spam,sms_spam_02836,impersonates_official_entity,0
SMS Spam,sms_spam,sms_spam_02836,uses_promotional_or_marketing_claim,1
SMS Spam,sms_spam,sms_spam_02836,mentions_money_payment,1
SMS Spam,sms_spam,sms_spam_02836,mentions_free_offer,1
SMS Spam,sms_spam,sms_spam_02836,mentions_discount_or_rate,1
