dataset,dataset_key,id,label,feature_id,llm_value
SMS Spam,sms_spam,sms_spam_00309,spam,mentions_prize_reward_gift,1
SMS Spam,sms_spam,sms_spam_00309,spam,claims_winner_or_selected,1
SMS Spam,sms_spam,sms_spam_00309,spam,impersonates_official_entity,0
SMS Spam,sms_spam,sms_spam_00309,spam,uses_promotional_or_marketing_claim,1
SMS Spam,sms_spam,sms_spam_00309,spam,mentions_money_payment,1
SMS Spam,sms_spam,sms_spam_00309,spam,mentions_free_offer,1
SMS Spam,sms_spam,sms_spam_00309,spam,mentions_discount_or_rate,0
SMS Spam,sms_spam,sms_spam_00309,spam,mentions_financial_gain_or_cost,1
SMS Spam,sms_spam,sms_spam_00309,spam,creates_urgency,1
SMS Spam,sms_spam,sms_spam_00309,spam,uses_deadline_or_expiry,0
SMS Spam,sms_spam,sms_spam_00309,spam,threatens_loss_or_penalty,0
SMS Spam,sms_spam,sms_spam_00309,spam,contains_all_caps_or_exclamation_emphasis,1
SMS Spam,sms_spam,sms_spam_00309,spam,asks_click_link,0
SMS Spam,sms_spam,sms_spam_00309,spam,asks_user_reply_or_call,1
SMS Spam,sms_spam,sms_spam_00309,spam,requests_personal_information,0
SMS Spam,sms_spam,sms_spam_00309,spam,requests_immediate_action,1
SMS Spam,sms_spam,sms_spam_00309,spam,normal_personal_conversation,0
SMS Spam,sms_spam,sms_spam_00309,spam,mentions_meeting_family_friends,0
SMS Spam,sms_spam,sms_spam_00309,spam,uses_casual_emotional_language,0
SMS Spam,sms_spam,sms_spam_00309,spam,refers_previous_conversation,0
SMS Spam,sms_spam,sms_spam_03121,spam,mentions_prize_reward_gift,0
SMS Spam,sms_spam,sms_spam_03121,spam,claims_winner_or_selected,0
SMS Spam,sms_spam,sms_spam_03121,spam,impersonates_official_entity,0
SMS Spam,sms_spam,sms_spam_03121,spam,uses_promotional_or_marketing_claim,1
SMS Spam,sms_spam,sms_spam_03121,spam,mentions_money_payment,1
SMS Spam,sms_spam,sms_spam_03121,spam,mentions_free_offer,0
SMS Spam,sms_spam,sms_spam_03121,spam,mentions_discount_or_rate,0
SMS Spam,sms_spam,sms_spam_03121,spam,mentions_financial_gain_or_cost,1
SMS Spam,sms_spam,sms_spam_03121,spam,creates_urgency,1
SMS Spam,sms_spam,sms_spam_03121,spam,uses_deadline_or_expiry,0
SMS Spam,sms_spam,sms_spam_03121,spam,threatens_loss_or_penalty,0
SMS Spam,sms_spam,sms_spam_03121,spam,contains_all_caps_or_exclamation_emphasis,0
SMS Spam,sms_spam,sms_spam_03121,spam,asks_click_link,0
SMS Spam,sms_spam,sms_spam_03121,spam,asks_user_reply_or_call,1
SMS Spam,sms_spam,sms_spam_03121,spam,requests_personal_information,0
SMS Spam,sms_spam,sms_spam_03121,spam,requests_immediate_action,1
SMS Spam,sms_spam,sms_spam_03121,spam,normal_personal_conversation,0
SMS Spam,sms_spam,sms_spam_03121,spam,mentions_meeting_family_friends,0
